TIME_KEY,YEAR,MONTH,DAY,DAY_OF_WEEK,processed_at
201511017,2015,11,01,7,2026-08-15 15:42:29
201511021,2015,11,02,1,2026-08-15 15:42:29
201511032,2015,11,03,2,2026-08-15 15:42:29
201511043,2015,11,04,3,2026-08-15 15:42:29
201511054,2015,11,05,4,2026-08-15 15:42:29
201511065,2015,11,06,5,2026-08-15 15:42:29
201511076,2015,11,07,6,2026-08-15 15:42:29
201511087,2015,11,08,7,2026-08-15 15:42:29
201511091,2015,11,09,1,2026-08-15 15:42:29
201511102,2015,11,10,2,2026-08-15 15:42:29
201511113,2015,11,11,3,2026-08-15 15:42:29
201511124,2015,11,12,4,2026-08-15 15:42:29
201511135,2015,11,13,5,2026-08-15 15:42:29
201511146,2015,11,14,6,2026-08-15 15:42:29
201511157,2015,11,15,7,2026-08-15 15:42:29
201511161,2015,11,16,1,2026-08-15 15:42:29
201511172,2015,11,17,2,2026-08-15 15:42:29
201511183,2015,11,18,3,2026-08-15 15:42:29
201511194,2015,11,19,4,2026-08-15 15:42:29
201511205,2015,11,20,5,2026-08-15 15:42:29
201511216,2015,11,21,6,2026-08-15 15:42:29
201511227,2015,11,22,7,2026-08-15 15:42:29
201511231,2015,11,23,1,2026-08-15 15:42:29
201511242,2015,11,24,2,2026-08-15 15:42:29
201511253,2015,11,25,3,2026-08-15 15:42:29
201511264,2015,11,26,4,2026-08-15 15:42:29
201511275,2015,11,27,5,2026-08-15 15:42:29
201511286,2015,11,28,6,2026-08-15 15:42:29
201511297,2015,11,29,7,2026-08-15 15:42:29
201511301,2015,11,30,1,2026-08-15 15:42:29
