TIME_KEY,YEAR,MONTH,DAY,DAY_OF_WEEK,processed_at
201512012,2015,12,01,2,2026-08-15 15:42:55
201512023,2015,12,02,3,2026-08-15 15:42:55
201512034,2015,12,03,4,2026-08-15 15:42:55
201512045,2015,12,04,5,2026-08-15 15:42:55
201512056,2015,12,05,6,2026-08-15 15:42:55
201512067,2015,12,06,7,2026-08-15 15:42:55
201512071,2015,12,07,1,2026-08-15 15:42:55
201512082,2015,12,08,2,2026-08-15 15:42:55
201512093,2015,12,09,3,2026-08-15 15:42:55
201512104,2015,12,10,4,2026-08-15 15:42:55
201512115,2015,12,11,5,2026-08-15 15:42:55
201512126,2015,12,12,6,2026-08-15 15:42:55
201512137,2015,12,13,7,2026-08-15 15:42:55
201512141,2015,12,14,1,2026-08-15 15:42:55
201512152,2015,12,15,2,2026-08-15 15:42:55
201512163,2015,12,16,3,2026-08-15 15:42:55
201512174,2015,12,17,4,2026-08-15 15:42:55
201512185,2015,12,18,5,2026-08-15 15:42:55
201512196,2015,12,19,6,2026-08-15 15:42:55
201512207,2015,12,20,7,2026-08-15 15:42:55
201512211,2015,12,21,1,2026-08-15 15:42:55
201512222,2015,12,22,2,2026-08-15 15:42:55
201512233,2015,12,23,3,2026-08-15 15:42:55
201512244,2015,12,24,4,2026-08-15 15:42:55
201512255,2015,12,25,5,2026-08-15 15:42:55
201512266,2015,12,26,6,2026-08-15 15:42:55
201512277,2015,12,27,7,2026-08-15 15:42:55
201512281,2015,12,28,1,2026-08-15 15:42:55
201512292,2015,12,29,2,2026-08-15 15:42:55
201512303,2015,12,30,3,2026-08-15 15:42:55
201512314,2015,12,31,4,2026-08-15 15:42:55
