TIME_KEY,YEAR,MONTH,DAY,DAY_OF_WEEK,processed_at
201504013,2015,04,01,3,2026-08-15 15:42:16
201504024,2015,04,02,4,2026-08-15 15:42:16
201504035,2015,04,03,5,2026-08-15 15:42:16
201504046,2015,04,04,6,2026-08-15 15:42:16
201504057,2015,04,05,7,2026-08-15 15:42:16
201504061,2015,04,06,1,2026-08-15 15:42:16
201504072,2015,04,07,2,2026-08-15 15:42:16
201504083,2015,04,08,3,2026-08-15 15:42:16
201504094,2015,04,09,4,2026-08-15 15:42:16
201504105,2015,04,10,5,2026-08-15 15:42:16
201504116,2015,04,11,6,2026-08-15 15:42:16
201504127,2015,04,12,7,2026-08-15 15:42:16
201504131,2015,04,13,1,2026-08-15 15:42:16
201504142,2015,04,14,2,2026-08-15 15:42:16
201504153,2015,04,15,3,2026-08-15 15:42:16
201504164,2015,04,16,4,2026-08-15 15:42:16
201504175,2015,04,17,5,2026-08-15 15:42:16
201504186,2015,04,18,6,2026-08-15 15:42:16
201504197,2015,04,19,7,2026-08-15 15:42:16
201504201,2015,04,20,1,2026-08-15 15:42:16
201504212,2015,04,21,2,2026-08-15 15:42:16
201504223,2015,04,22,3,2026-08-15 15:42:16
201504234,2015,04,23,4,2026-08-15 15:42:16
201504245,2015,04,24,5,2026-08-15 15:42:16
201504256,2015,04,25,6,2026-08-15 15:42:16
201504267,2015,04,26,7,2026-08-15 15:42:16
201504271,2015,04,27,1,2026-08-15 15:42:16
201504282,2015,04,28,2,2026-08-15 15:42:16
201504293,2015,04,29,3,2026-08-15 15:42:16
201504304,2015,04,30,4,2026-08-15 15:42:16
