IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,DOT_ID,processed_at
SCC,Deadhorse Airport (Prudhoe Bay Airport),Deadhorse,AK,USA,70.19476,-148.46516,14709,2026-08-11 04:08:10
SCE,University Park Airport,State College,PA,USA,40.85121,-77.8463,14711,2026-08-11 04:08:10
SDF,Louisville International Airport (Standiford Field),Louisville,KY,USA,38.17439,-85.736,14730,2026-08-11 04:08:10
SEA,Seattle-Tacoma International Airport,Seattle,WA,USA,47.44898,-122.30931,14747,2026-08-11 04:08:10
SFO,San Francisco International Airport,San Francisco,CA,USA,37.619,-122.37484,14771,2026-08-11 04:08:10
SGF,Springfield-Branson National Airport,Springfield,MO,USA,37.24433,-93.38686,14783,2026-08-11 04:08:10
SGU,St. George Regional Airport,St George,UT,USA,37.09058,-113.59306,14794,2026-08-11 04:08:10
SHV,Shreveport Regional Airport,Shreveport,LA,USA,32.44663,-93.8256,14814,2026-08-11 04:08:10
SIT,Sitka Rocky Gutierrez Airport,Sitka,AK,USA,57.04714,-135.3616,14828,2026-08-11 04:08:10
SJC,Norman Y. Mineta San José International Airport,San Jose,CA,USA,37.36186,-121.92901,14831,2026-08-11 04:08:10
SJT,San Angelo Regional Airport (Mathis Field),San Angelo,TX,USA,31.35775,-100.49631,14842,2026-08-11 04:08:10
SJU,Luis Muñoz Marín International Airport,San Juan,PR,USA,18.43942,-66.00183,14843,2026-08-11 04:08:10
SLC,Salt Lake City International Airport,Salt Lake City,UT,USA,40.78839,-111.97777,14869,2026-08-11 04:08:10
SMF,Sacramento International Airport,Sacramento,CA,USA,38.69542,-121.59077,14893,2026-08-11 04:08:10
SMX,Santa Maria Public Airport (Capt G. Allan Hancock Field),Santa Maria,CA,USA,34.89925,-120.45758,14905,2026-08-11 04:08:10
SNA,John Wayne Airport (Orange County Airport),Santa Ana,CA,USA,33.67566,-117.86822,14908,2026-08-11 04:08:10
SPI,Abraham Lincoln Capital Airport,Springfield,IL,USA,39.84395,-89.67762,14952,2026-08-11 04:08:10
SPS,Wichita Falls Municipal Airport/Sheppard AFB,Wichita Falls,TX,USA,33.9888,-98.49189,14960,2026-08-11 04:08:10
SRQ,Sarasota-Bradenton International Airport,Sarasota,FL,USA,27.39533,-82.55411,14986,2026-08-11 04:08:10
STC,St. Cloud Regional Airport,St Cloud,MN,USA,45.54532,-94.05834,15008,2026-08-11 04:08:10
STL,St. Louis International Airport at Lambert Field,St Louis,MO,USA,38.74769,-90.35999,15016,2026-08-11 04:08:10
STT,Cyril E. King Airport,Charlotte Amalie,VI,USA,18.33731,-64.97336,15024,2026-08-11 04:08:10
STX,Henry E. Rohlsen Airport,Christiansted,VI,USA,17.70189,-64.79856,15027,2026-08-11 04:08:10
SUN,Friedman Memorial Airport,Hailey,ID,USA,43.50484,-114.29659,15041,2026-08-11 04:08:10
SUX,Sioux Gateway Airport,Sioux City,IA,USA,42.4026,-96.38437,15048,2026-08-11 04:08:10
SWF,Stewart International Airport,Newburgh,NY,USA,41.50409,-74.10484,15070,2026-08-11 04:08:10
SYR,Syracuse Hancock International Airport,Syracuse,NY,USA,43.11119,-76.10631,15096,2026-08-11 04:08:10
TLH,Tallahassee International Airport,Tallahassee,FL,USA,30.39653,-84.35033,15249,2026-08-11 04:08:10
TOL,Toledo Express Airport,Toledo,OH,USA,41.58681,-83.80783,15295,2026-08-11 04:08:10
TPA,Tampa International Airport,Tampa,FL,USA,27.97547,-82.53325,15304,2026-08-11 04:08:10
TRI,Tri-Cities Regional Airport,Bristol,TN,USA,36.47521,-82.40742,15323,2026-08-11 04:08:10
TTN,Trenton Mercer Airport,Trenton,NJ,USA,40.27669,-74.81347,15356,2026-08-11 04:08:10
TUL,Tulsa International Airport,Tulsa,OK,USA,36.19837,-95.88824,15370,2026-08-11 04:08:10
TUS,Tucson International Airport,Tucson,AZ,USA,32.11608,-110.94103,15376,2026-08-11 04:08:10
TVC,Cherry Capital Airport,Traverse City,MI,USA,44.74144,-85.58224,15380,2026-08-11 04:08:10
TWF,Magic Valley Regional Airport (Joslin Field),Twin Falls,ID,USA,42.4818,-114.48774,15389,2026-08-11 04:08:10
TXK,Texarkana Regional Airport (Webb Field),Texarkana,AR,USA,33.45371,-93.99102,15401,2026-08-11 04:08:10
TYR,Tyler Pounds Regional Airport,Tyler,TX,USA,32.35414,-95.40239,15411,2026-08-11 04:08:10
TYS,McGhee Tyson Airport,Knoxville,TN,USA,35.81249,-83.99286,15412,2026-08-11 04:08:10
UST,Northeast Florida Regional Airport (St. Augustine Airport),St. Augustine,FL,USA,,,15497,2026-08-11 04:08:10
VEL,Valdez Airport,Vernal,UT,USA,40.4409,-109.50992,15582,2026-08-11 04:08:10
VLD,Valdosta Regional Airport,Valdosta,GA,USA,30.7825,-83.27672,15607,2026-08-11 04:08:10
VPS,Destin-Fort Walton Beach Airport/Eglin AFB,Valparaiso,FL,USA,30.48325,-86.5254,15624,2026-08-11 04:08:10
WRG,Wrangell Airport,Wrangell,AK,USA,56.48433,-132.36982,15841,2026-08-11 04:08:10
WYS,Westerly State Airport,West Yellowstone,MT,USA,44.6884,-111.11764,15897,2026-08-11 04:08:10
XNA,Northwest Arkansas Regional Airport,Fayetteville/Springdale/Rogers,AR,USA,36.28187,-94.30681,15919,2026-08-11 04:08:10
YAK,Yakutat Airport,Yakutat,AK,USA,59.50336,-139.66023,15991,2026-08-11 04:08:10
YUM,Yuma International Airport,Yuma,AZ,USA,32.65658,-114.60597,16218,2026-08-11 04:08:10
