IATA_CODE,AIRPORT,CITY,STATE,COUNTRY,LATITUDE,LONGITUDE,DOT_ID,processed_at
GTF,Great Falls International Airport,Great Falls,MT,USA,47.482,-111.37069,12003,2026-08-11 04:08:10
GTR,Golden Triangle Regional Airport,Columbus-Starkville-West Point,MS,USA,33.45033,-88.59137,12007,2026-08-11 04:08:10
GUC,Gunnison-Crested Butte Regional Airport,Gunnison,CO,USA,38.53396,-106.93318,12012,2026-08-11 04:08:10
GUM,Guam International Airport,Agana,GU,USA,13.48345,-144.79598,12016,2026-08-11 04:08:10
HDN,Yampa Valley Airport (Yampa Valley Regional),Hayden,CO,USA,40.48118,-107.21766,12094,2026-08-11 04:08:10
HIB,Range Regional Airport (Chisholm-Hibbing Airport),Hibbing,MN,USA,47.3866,-92.83899,12129,2026-08-11 04:08:10
HLN,Helena Regional Airport,Helena,MT,USA,46.60682,-111.98275,12156,2026-08-11 04:08:10
HNL,Honolulu International Airport,Honolulu,HI,USA,21.31869,-157.92241,12173,2026-08-11 04:08:10
HOB,Lea County Regional Airport,Hobbs,NM,USA,32.68753,-103.21703,12177,2026-08-11 04:08:10
HOU,William P. Hobby Airport,Houston,TX,USA,29.64542,-95.27889,12191,2026-08-11 04:08:10
HPN,Westchester County Airport,White Plains,NY,USA,41.06696,-73.70757,12197,2026-08-11 04:08:10
HRL,Valley International Airport,Harlingen,TX,USA,26.22851,-97.65439,12206,2026-08-11 04:08:10
HSV,Huntsville International Airport,Huntsville,AL,USA,34.64045,-86.77311,12217,2026-08-11 04:08:10
HYA,Barnstable Municipal Airport,Hyannis,MA,USA,41.66934,-70.28036,12250,2026-08-11 04:08:10
HYS,Hays Regional Airport,Hays,KS,USA,38.84494,-99.27403,12255,2026-08-11 04:08:10
IAD,Washington Dulles International Airport,Chantilly,VA,USA,38.94453,-77.45581,12264,2026-08-11 04:08:10
IAG,Niagara Falls International Airport,Niagara Falls,NY,USA,43.10726,-78.94538,12265,2026-08-11 04:08:10
IAH,George Bush Intercontinental Airport,Houston,TX,USA,29.98047,-95.33972,12266,2026-08-11 04:08:10
ICT,Wichita Dwight D. Eisenhower National Airport (Wichita Mid-Continent Airport),Wichita,KS,USA,37.64996,-97.43305,12278,2026-08-11 04:08:10
IDA,Idaho Falls Regional Airport,Idaho Falls,ID,USA,43.51456,-112.07017,12280,2026-08-11 04:08:10
ILG,Wilmington Airport,Wilmington,DE,USA,39.67872,-75.60653,12320,2026-08-11 04:08:10
ILM,Wilmington International Airport,Wilmington,NC,USA,34.27061,-77.90256,12323,2026-08-11 04:08:10
IMT,Ford Airport,Iron Mountain/Kingsford,MI,USA,45.81835,-88.11454,12335,2026-08-11 04:08:10
IND,Indianapolis International Airport,Indianapolis,IN,USA,39.71733,-86.29438,12339,2026-08-11 04:08:10
INL,Falls International Airport,International Falls,MN,USA,48.56619,-93.40307,12343,2026-08-11 04:08:10
ISN,Sloulin Field International Airport,Williston,ND,USA,48.17794,-103.64235,12389,2026-08-11 04:08:10
ISP,Long Island MacArthur Airport,Islip,NY,USA,40.79524,-73.10021,12391,2026-08-11 04:08:10
ITH,Ithaca Tompkins Regional Airport,Ithaca,NY,USA,42.49103,-76.45844,12397,2026-08-11 04:08:10
ITO,Hilo International Airport,Hilo,HI,USA,19.72026,-155.04847,12402,2026-08-11 04:08:10
JAC,Jackson Hole Airport,Jackson,WY,USA,43.60732,-110.73774,12441,2026-08-11 04:08:10
JAN,Jackson-Evers International Airport,Jackson,MS,USA,32.31117,-90.07589,12448,2026-08-11 04:08:10
JAX,Jacksonville International Airport,Jacksonville,FL,USA,30.49406,-81.68786,12451,2026-08-11 04:08:10
JFK,John F. Kennedy International Airport (New York International Airport),New York,NY,USA,40.63975,-73.77893,12478,2026-08-11 04:08:10
JLN,Joplin Regional Airport,Joplin,MO,USA,37.15181,-94.49827,12511,2026-08-11 04:08:10
JMS,Jamestown Regional Airport,Jamestown,ND,USA,46.92972,-98.6782,12519,2026-08-11 04:08:10
JNU,Juneau International Airport,Juneau,AK,USA,58.35496,-134.57628,12523,2026-08-11 04:08:10
KOA,Kona International Airport at Keahole,Kailua/Kona,HI,USA,19.73877,-156.04563,12758,2026-08-11 04:08:10
KTN,Ketchikan International Airport,Ketchikan,AK,USA,55.35557,-131.71374,12819,2026-08-11 04:08:10
LAN,Capital Region International Airport ( Lansing Capital City),Lansing,MI,USA,42.7787,-84.58736,12884,2026-08-11 04:08:10
LAR,Laramie Regional Airport,Laramie,WY,USA,41.31205,-105.67499,12888,2026-08-11 04:08:10
LAS,McCarran International Airport,Las Vegas,NV,USA,36.08036,-115.15233,12889,2026-08-11 04:08:10
LAW,Lawton-Fort Sill Regional Airport,Lawton,OK,USA,34.56771,-98.41664,12891,2026-08-11 04:08:10
LAX,Los Angeles International Airport,Los Angeles,CA,USA,33.94254,-118.40807,12892,2026-08-11 04:08:10
LBB,Lubbock Preston Smith International Airport,Lubbock,TX,USA,33.66364,-101.82278,12896,2026-08-11 04:08:10
LBE,Arnold Palmer Regional Airport,Latrobe,PA,USA,40.27594,-79.4048,12898,2026-08-11 04:08:10
LCH,Lake Charles Regional Airport,Lake Charles,LA,USA,30.1261,-93.2234,12915,2026-08-11 04:08:10
LEX,Blue Grass Airport,Lexington,KY,USA,38.03697,-84.60539,12945,2026-08-11 04:08:10
LFT,Lafayette Regional Airport,Lafayette,LA,USA,30.20528,-91.98766,12951,2026-08-11 04:08:10
LGA,LaGuardia Airport (Marine Air Terminal),New York,NY,USA,40.77724,-73.87261,12953,2026-08-11 04:08:10
LGB,Long Beach Airport (Daugherty Field),Long Beach,CA,USA,33.81772,-118.15161,12954,2026-08-11 04:08:10
LIH,Lihue Airport,Lihue,HI,USA,21.97598,-159.33896,12982,2026-08-11 04:08:10
LIT,Bill and Hillary Clinton National Airport (Adams Field),Little Rock,AR,USA,34.7294,-92.22425,12992,2026-08-11 04:08:10
LNK,Lincoln Airport (Lincoln Municipal),Lincoln,NE,USA,40.85097,-96.75925,13029,2026-08-11 04:08:10
LRD,Laredo International Airport,Laredo,TX,USA,27.54374,-99.46154,13061,2026-08-11 04:08:10
LSE,La Crosse Regional Airport,La Crosse,WI,USA,43.87938,-91.25654,13076,2026-08-11 04:08:10
LWS,Lewiston-Nez Perce County Airport,Lewiston,ID,USA,46.3745,-117.01539,13127,2026-08-11 04:08:10
MAF,Midland International Airport,Midland,TX,USA,31.94253,-102.20191,13158,2026-08-11 04:08:10
MBS,MBS International Airport,Saginaw,MI,USA,43.53291,-84.07965,13184,2026-08-11 04:08:10
MCI,Kansas City International Airport,Kansas City,MO,USA,39.29761,-94.71391,13198,2026-08-11 04:08:10
MCO,Orlando International Airport,Orlando,FL,USA,28.42889,-81.31603,13204,2026-08-11 04:08:10
MDT,Harrisburg International Airport,Harrisburg,PA,USA,40.1935,-76.7634,13230,2026-08-11 04:08:10
MDW,Chicago Midway International Airport,Chicago,IL,USA,41.78598,-87.75242,13232,2026-08-11 04:08:10
MEI,Meridian Regional Airport,Meridian,MS,USA,32.33313,-88.75121,13241,2026-08-11 04:08:10
MEM,Memphis International Airport,Memphis,TN,USA,35.04242,-89.97667,13244,2026-08-11 04:08:10
MFE,McAllen-Miller International Airport (McAllen Miller International),McAllen,TX,USA,26.17583,-98.23861,13256,2026-08-11 04:08:10
MFR,Rogue Valley International Airport,Medford,OR,USA,42.37423,-122.8735,13264,2026-08-11 04:08:10
MGM,Montgomery Regional Airport,Montgomery,AL,USA,32.30064,-86.39398,13277,2026-08-11 04:08:10
MHK,Manhattan Regional Airport,Manhattan,KS,USA,39.14097,-96.67083,13290,2026-08-11 04:08:10
MHT,Manchester-Boston Regional Airport,Manchester,NH,USA,42.93452,-71.43706,13296,2026-08-11 04:08:10
MIA,Miami International Airport,Miami,FL,USA,25.79325,-80.29056,13303,2026-08-11 04:08:10
MKE,General Mitchell International Airport,Milwaukee,WI,USA,42.94722,-87.89658,13342,2026-08-11 04:08:10
MKG,Muskegon County Airport,Muskegon,MI,USA,43.16949,-86.23822,13344,2026-08-11 04:08:10
MLB,Melbourne International Airport,Melbourne,FL,USA,28.10275,-80.64581,13360,2026-08-11 04:08:10
MLI,Quad City International Airport,Moline,IL,USA,41.44853,-90.50754,13367,2026-08-11 04:08:10
MLU,Monroe Regional Airport,Monroe,LA,USA,32.51087,-92.03769,13377,2026-08-11 04:08:10
MMH,Mammoth Yosemite Airport,Mammoth Lakes,CA,USA,37.62405,-118.83777,13388,2026-08-11 04:08:10
MOB,Mobile Regional Airport,Mobile,AL,USA,30.69142,-88.24283,13422,2026-08-11 04:08:10
MOT,Minot International Airport,Minot,ND,USA,48.25938,-101.28033,13433,2026-08-11 04:08:10
MQT,Sawyer International Airport,Marquette,MI,USA,46.35364,-87.39536,13459,2026-08-11 04:08:10
MRY,Monterey Regional Airport (Monterey Peninsula Airport),Monterey,CA,USA,36.58698,-121.84295,13476,2026-08-11 04:08:10
MSN,Dane County Regional Airport,Madison,WI,USA,43.13986,-89.33751,13485,2026-08-11 04:08:10
MSO,Missoula International Airport,Missoula,MT,USA,46.91631,-114.09056,13486,2026-08-11 04:08:10
MSP,Minneapolis-Saint Paul International Airport,Minneapolis,MN,USA,44.88055,-93.21692,13487,2026-08-11 04:08:10
MSY,Louis Armstrong New Orleans International Airport,New Orleans,LA,USA,29.99339,-90.25803,13495,2026-08-11 04:08:10
MTJ,Montrose Regional Airport,Montrose,CO,USA,38.50887,-107.89383,13502,2026-08-11 04:08:10
