TIME_KEY,YEAR,MONTH,DAY,DAY_OF_WEEK,processed_at
201510014,2015,10,01,4,2026-08-11 04:07:33
201510025,2015,10,02,5,2026-08-11 04:07:33
201510036,2015,10,03,6,2026-08-11 04:07:33
201510047,2015,10,04,7,2026-08-11 04:07:33
201510051,2015,10,05,1,2026-08-11 04:07:33
201510062,2015,10,06,2,2026-08-11 04:07:33
201510073,2015,10,07,3,2026-08-11 04:07:33
201510084,2015,10,08,4,2026-08-11 04:07:33
201510095,2015,10,09,5,2026-08-11 04:07:33
201510106,2015,10,10,6,2026-08-11 04:07:33
201510117,2015,10,11,7,2026-08-11 04:07:33
201510121,2015,10,12,1,2026-08-11 04:07:33
201510132,2015,10,13,2,2026-08-11 04:07:33
201510143,2015,10,14,3,2026-08-11 04:07:33
201510154,2015,10,15,4,2026-08-11 04:07:33
201510165,2015,10,16,5,2026-08-11 04:07:33
201510176,2015,10,17,6,2026-08-11 04:07:33
201510187,2015,10,18,7,2026-08-11 04:07:33
201510191,2015,10,19,1,2026-08-11 04:07:33
201510202,2015,10,20,2,2026-08-11 04:07:33
201510213,2015,10,21,3,2026-08-11 04:07:33
201510224,2015,10,22,4,2026-08-11 04:07:33
201510235,2015,10,23,5,2026-08-11 04:07:33
201510246,2015,10,24,6,2026-08-11 04:07:33
201510257,2015,10,25,7,2026-08-11 04:07:33
201510261,2015,10,26,1,2026-08-11 04:07:33
201510272,2015,10,27,2,2026-08-11 04:07:33
201510283,2015,10,28,3,2026-08-11 04:07:33
201510294,2015,10,29,4,2026-08-11 04:07:33
201510305,2015,10,30,5,2026-08-11 04:07:33
201510316,2015,10,31,6,2026-08-11 04:07:33
