TIME_KEY,YEAR,MONTH,DAY,DAY_OF_WEEK,processed_at
201501014,2015,01,01,4,2026-08-15 15:42:10
201501025,2015,01,02,5,2026-08-15 15:42:10
201501036,2015,01,03,6,2026-08-15 15:42:10
201501047,2015,01,04,7,2026-08-15 15:42:10
201501051,2015,01,05,1,2026-08-15 15:42:10
201501062,2015,01,06,2,2026-08-15 15:42:10
201501073,2015,01,07,3,2026-08-15 15:42:10
201501084,2015,01,08,4,2026-08-15 15:42:10
201501095,2015,01,09,5,2026-08-15 15:42:10
201501106,2015,01,10,6,2026-08-15 15:42:10
201501117,2015,01,11,7,2026-08-15 15:42:10
201501121,2015,01,12,1,2026-08-15 15:42:10
201501132,2015,01,13,2,2026-08-15 15:42:10
201501143,2015,01,14,3,2026-08-15 15:42:10
201501154,2015,01,15,4,2026-08-15 15:42:10
201501165,2015,01,16,5,2026-08-15 15:42:10
201501176,2015,01,17,6,2026-08-15 15:42:10
201501187,2015,01,18,7,2026-08-15 15:42:10
201501191,2015,01,19,1,2026-08-15 15:42:10
201501202,2015,01,20,2,2026-08-15 15:42:10
201501213,2015,01,21,3,2026-08-15 15:42:10
201501224,2015,01,22,4,2026-08-15 15:42:10
201501235,2015,01,23,5,2026-08-15 15:42:10
201501246,2015,01,24,6,2026-08-15 15:42:10
201501257,2015,01,25,7,2026-08-15 15:42:10
201501261,2015,01,26,1,2026-08-15 15:42:10
201501272,2015,01,27,2,2026-08-15 15:42:10
201501283,2015,01,28,3,2026-08-15 15:42:10
201501294,2015,01,29,4,2026-08-15 15:42:10
201501305,2015,01,30,5,2026-08-15 15:42:10
201501316,2015,01,31,6,2026-08-15 15:42:10
